Geographic Area Name,Estimate!!Households!!Total,Estimate!!Households!!Mean income (dollars)
ZCTA5 32003,11093,119164
ZCTA5 32008,2123,47901
ZCTA5 32009,1384,78698
ZCTA5 32011,5318,73333
ZCTA5 32024,7016,75984
ZCTA5 32025,7959,61113
ZCTA5 32026,0,-
ZCTA5 32033,1924,82780
ZCTA5 32034,16291,116439
ZCTA5 32038,3973,54844
ZCTA5 32040,2920,70047
ZCTA5 32043,10382,75798
ZCTA5 32044,822,43496
ZCTA5 32046,3550,70525
ZCTA5 32052,2147,47534
ZCTA5 32053,1463,50794
ZCTA5 32054,3497,75378
ZCTA5 32055,5914,64447
ZCTA5 32058,1292,56762
ZCTA5 32059,1028,48361
ZCTA5 32060,8456,66865
ZCTA5 32061,116,83103
ZCTA5 32062,582,54678
ZCTA5 32063,4417,79027
ZCTA5 32064,2450,52423
ZCTA5 32065,12482,91896
ZCTA5 32066,1963,58195
ZCTA5 32068,19078,83168
ZCTA5 32071,1167,61752
ZCTA5 32072,59,100890
ZCTA5 32073,15094,77194
ZCTA5 32079,196,62023
ZCTA5 32080,9976,106136
ZCTA5 32081,5476,148539
ZCTA5 32082,11719,178335
ZCTA5 32083,574,62460
ZCTA5 32084,13011,73214
ZCTA5 32086,11575,77175
ZCTA5 32087,1386,71829
ZCTA5 32091,5900,57380
ZCTA5 32092,13656,108754
ZCTA5 32094,693,96763
ZCTA5 32095,4483,119118
ZCTA5 32096,1189,52581
ZCTA5 32097,6890,76087
ZCTA5 32102,980,67222
ZCTA5 32110,3123,51925
ZCTA5 32112,2809,43944
ZCTA5 32113,2036,54052
ZCTA5 32114,13290,44966
ZCTA5 32117,11249,53408
ZCTA5 32118,9111,70083
ZCTA5 32119,10033,55559
ZCTA5 32124,1934,79442
ZCTA5 32127,12582,75233
ZCTA5 32128,8695,91346
ZCTA5 32129,10088,60190
ZCTA5 32130,1793,78322
ZCTA5 32131,1832,84828
ZCTA5 32132,3887,51920
ZCTA5 32133,0,-
ZCTA5 32134,3277,51007
ZCTA5 32136,3981,83419
ZCTA5 32137,17568,84240
ZCTA5 32139,367,48552
ZCTA5 32140,599,88027
ZCTA5 32141,8633,65581
ZCTA5 32145,2016,80040
ZCTA5 32147,150,72096
ZCTA5 32148,4343,44963
ZCTA5 32157,148,51180
ZCTA5 32159,15819,61693
ZCTA5 32162,31260,77197
ZCTA5 32164,18365,78979
ZCTA5 32168,12310,79836
ZCTA5 32169,5840,103561
ZCTA5 32174,23090,77325
ZCTA5 32176,7165,92481
ZCTA5 32177,11092,56152
ZCTA5 32179,3571,44530
ZCTA5 32180,1364,68101
ZCTA5 32181,1088,42609
ZCTA5 32187,659,51650
ZCTA5 32189,2674,44717
ZCTA5 32190,443,66545
ZCTA5 32193,514,40895
ZCTA5 32195,1433,58784
ZCTA5 32202,2265,55015
ZCTA5 32204,4123,62087
ZCTA5 32205,13859,75222
ZCTA5 32206,6587,46091
ZCTA5 32207,15566,77891
ZCTA5 32208,12550,49230
ZCTA5 32209,13824,39500
ZCTA5 32210,24886,69323
ZCTA5 32211,13606,55244
ZCTA5 32212,222,49073
ZCTA5 32216,16152,74670
ZCTA5 32217,8595,79905
ZCTA5 32218,22441,72693
ZCTA5 32219,4367,61003
ZCTA5 32220,4554,75472
ZCTA5 32221,10169,82335
ZCTA5 32222,4725,75478
ZCTA5 32223,9979,108501
ZCTA5 32224,14907,109353
ZCTA5 32225,19878,92970
ZCTA5 32226,5730,99517
ZCTA5 32227,481,75084
ZCTA5 32228,0,-
ZCTA5 32233,10003,98404
ZCTA5 32234,2382,78689
ZCTA5 32244,22539,62696
ZCTA5 32246,21387,76508
ZCTA5 32250,12469,129586
ZCTA5 32254,5022,42149
ZCTA5 32256,21791,91477
ZCTA5 32257,16015,88306
ZCTA5 32258,13967,112137
ZCTA5 32259,17407,140100
ZCTA5 32266,3143,121650
ZCTA5 32277,12259,62292
ZCTA5 32301,13163,54972
ZCTA5 32303,20933,71639
ZCTA5 32304,19099,31333
ZCTA5 32305,7802,59543
ZCTA5 32308,10547,94796
ZCTA5 32309,13089,103593
ZCTA5 32310,5797,52704
ZCTA5 32311,8232,97632
ZCTA5 32312,12466,135219
ZCTA5 32317,5402,109860
ZCTA5 32320,1832,56786
ZCTA5 32321,1721,51899
ZCTA5 32322,998,60472
ZCTA5 32323,71,43207
ZCTA5 32324,1918,46186
ZCTA5 32327,10018,83705
ZCTA5 32328,1553,79305
ZCTA5 32330,272,40850
ZCTA5 32331,1757,59909
ZCTA5 32332,505,33265
ZCTA5 32333,5116,59666
ZCTA5 32334,792,53847
ZCTA5 32336,463,46010
ZCTA5 32340,3923,45965
ZCTA5 32343,1147,70902
ZCTA5 32344,4963,65956
ZCTA5 32346,776,66935
ZCTA5 32347,2583,63103
ZCTA5 32348,3761,59920
ZCTA5 32350,693,53894
ZCTA5 32351,5934,50593
ZCTA5 32352,2415,53499
ZCTA5 32355,167,52071
ZCTA5 32356,0,-
ZCTA5 32358,658,68747
ZCTA5 32359,558,38176
ZCTA5 32361,169,76041
ZCTA5 32399,0,-
ZCTA5 32401,9662,54529
ZCTA5 32403,441,76278
ZCTA5 32404,15098,70455
ZCTA5 32405,13232,73363
ZCTA5 32407,4976,81862
ZCTA5 32408,8702,82502
ZCTA5 32409,3791,69214
ZCTA5 32410,507,68615
ZCTA5 32413,6558,98681
ZCTA5 32420,1162,55399
ZCTA5 32421,1592,50514
ZCTA5 32423,471,55250
ZCTA5 32424,2216,60661
ZCTA5 32425,4958,49047
ZCTA5 32426,332,42664
ZCTA5 32427,403,39700
ZCTA5 32428,6066,50717
ZCTA5 32430,364,46775
ZCTA5 32431,1816,60279
ZCTA5 32432,0,-
ZCTA5 32433,6875,60604
ZCTA5 32435,2772,61342
ZCTA5 32437,310,49917
ZCTA5 32438,1613,48598
ZCTA5 32439,4024,77832
ZCTA5 32440,2106,58780
ZCTA5 32442,1513,46165
ZCTA5 32443,1236,50564
ZCTA5 32444,7936,87529
ZCTA5 32445,472,50008
ZCTA5 32446,4063,65076
ZCTA5 32447,0,-
ZCTA5 32448,3473,45312
ZCTA5 32449,218,38467
ZCTA5 32455,1663,52543
ZCTA5 32456,3619,84551
ZCTA5 32459,7730,111023
ZCTA5 32460,1747,55630
ZCTA5 32461,16,N
ZCTA5 32462,1462,39639
ZCTA5 32463,82,49351
ZCTA5 32464,1609,52793
ZCTA5 32465,2516,53391
ZCTA5 32466,1808,71323
ZCTA5 32501,4516,57480
ZCTA5 32502,1555,82453
ZCTA5 32503,12484,80202
ZCTA5 32504,8985,77810
ZCTA5 32505,11025,46990
ZCTA5 32506,14283,64409
ZCTA5 32507,13631,83316
ZCTA5 32508,543,65596
ZCTA5 32509,0,-
ZCTA5 32511,0,-
ZCTA5 32514,17294,66291
ZCTA5 32526,14676,73150
ZCTA5 32530,4,N
ZCTA5 32531,2404,72924
ZCTA5 32533,10553,88116
ZCTA5 32534,6321,64130
ZCTA5 32535,1700,56664
ZCTA5 32536,8134,84639
ZCTA5 32539,10096,67692
ZCTA5 32541,8317,120431
ZCTA5 32542,842,62513
ZCTA5 32544,379,56049
ZCTA5 32547,14232,66146
ZCTA5 32548,9826,76273
ZCTA5 32550,3915,106297
ZCTA5 32561,4543,147097
ZCTA5 32563,10520,98233
ZCTA5 32564,1100,83030
ZCTA5 32565,2010,73520
ZCTA5 32566,14623,90586
ZCTA5 32567,1398,66184
ZCTA5 32568,1101,77857
ZCTA5 32569,5001,81050
ZCTA5 32570,12776,69832
ZCTA5 32571,12965,82073
ZCTA5 32577,1942,69992
ZCTA5 32578,12684,108381
ZCTA5 32579,4382,106869
ZCTA5 32580,1808,91025
ZCTA5 32583,9608,78730
ZCTA5 32601,8200,42307
ZCTA5 32603,1753,52170
ZCTA5 32605,10815,95914
ZCTA5 32606,10012,84946
ZCTA5 32607,12236,66238
ZCTA5 32608,19909,78832
ZCTA5 32609,7160,47911
ZCTA5 32612,26,13196
ZCTA5 32615,5430,84018
ZCTA5 32616,352,44990
ZCTA5 32617,1662,63013
ZCTA5 32618,3383,89507
ZCTA5 32619,2032,56342
ZCTA5 32621,2061,44324
ZCTA5 32622,462,53614
ZCTA5 32625,625,67614
ZCTA5 32626,3686,45617
ZCTA5 32628,1524,53143
ZCTA5 32631,169,76985
ZCTA5 32639,129,34503
ZCTA5 32640,4141,52316
ZCTA5 32641,5130,47933
ZCTA5 32643,4094,69385
ZCTA5 32648,114,66096
ZCTA5 32653,6106,81408
ZCTA5 32656,5423,67330
ZCTA5 32658,92,60515
ZCTA5 32664,166,56394
ZCTA5 32666,2737,68765
ZCTA5 32667,1728,74841
ZCTA5 32668,2017,63680
ZCTA5 32669,4854,100139
ZCTA5 32680,4361,55315
ZCTA5 32681,15,N
ZCTA5 32683,103,40540
ZCTA5 32686,2301,69809
ZCTA5 32692,42,N
ZCTA5 32693,4305,56347
ZCTA5 32694,1082,50995
ZCTA5 32696,5139,66211
ZCTA5 32697,87,56156
ZCTA5 32701,10808,71326
ZCTA5 32702,1099,60166
ZCTA5 32703,19623,71996
ZCTA5 32707,15680,66902
ZCTA5 32708,18514,96815
ZCTA5 32709,661,105671
ZCTA5 32712,15684,97066
ZCTA5 32713,8366,85353
ZCTA5 32714,15224,71809
ZCTA5 32720,12430,72676
ZCTA5 32724,14929,71730
ZCTA5 32725,16823,65296
ZCTA5 32726,9101,61803
ZCTA5 32730,2809,61813
ZCTA5 32732,1868,100379
ZCTA5 32735,1779,60402
ZCTA5 32736,3690,97200
ZCTA5 32738,14966,69327
ZCTA5 32744,1241,77862
ZCTA5 32746,19018,117703
ZCTA5 32750,9469,92654
ZCTA5 32751,8731,108187
ZCTA5 32754,4402,68162
ZCTA5 32757,11765,82627
ZCTA5 32759,1226,62625
ZCTA5 32763,9473,66407
ZCTA5 32764,1150,87852
ZCTA5 32765,21663,101251
ZCTA5 32766,4925,132687
ZCTA5 32767,1064,77042
ZCTA5 32771,20486,87199
ZCTA5 32773,11327,66783
ZCTA5 32776,4183,95013
ZCTA5 32778,9974,70273
ZCTA5 32779,11209,134614
ZCTA5 32780,15211,67934
ZCTA5 32784,3962,75394
ZCTA5 32789,11187,157455
ZCTA5 32792,21236,74607
ZCTA5 32796,8208,67253
ZCTA5 32798,1329,59753
ZCTA5 32801,7967,102943
ZCTA5 32803,9764,109092
ZCTA5 32804,8201,126239
ZCTA5 32805,7385,48607
ZCTA5 32806,10922,103667
ZCTA5 32807,12012,57740
ZCTA5 32808,18603,54089
ZCTA5 32809,9457,70276
ZCTA5 32810,13410,66215
ZCTA5 32811,14402,52865
ZCTA5 32812,13889,81887
ZCTA5 32814,3417,143004
ZCTA5 32817,11083,80883
ZCTA5 32818,17456,58197
ZCTA5 32819,9814,106777
ZCTA5 32820,2992,111967
ZCTA5 32821,8111,65040
ZCTA5 32822,22655,51894
ZCTA5 32824,13767,81227
ZCTA5 32825,19123,78656
ZCTA5 32826,8672,74248
ZCTA5 32827,3561,116706
ZCTA5 32828,23465,92517
ZCTA5 32829,6428,88235
ZCTA5 32830,0,-
ZCTA5 32831,28,37082
ZCTA5 32832,10108,116323
ZCTA5 32833,3154,89428
ZCTA5 32835,17323,84268
ZCTA5 32836,7117,173903
ZCTA5 32837,16191,78268
ZCTA5 32839,17392,53207
ZCTA5 32901,10658,57117
ZCTA5 32903,6165,113906
ZCTA5 32904,12791,84645
ZCTA5 32905,9379,52962
ZCTA5 32907,15617,65779
ZCTA5 32908,3785,64823
ZCTA5 32909,10655,75164
ZCTA5 32920,5939,72760
ZCTA5 32922,6982,54030
ZCTA5 32925,487,74307
ZCTA5 32926,8923,74780
ZCTA5 32927,10005,84145
ZCTA5 32931,7451,96500
ZCTA5 32934,7159,102615
ZCTA5 32935,16797,66098
ZCTA5 32937,10881,104501
ZCTA5 32940,17828,104517
ZCTA5 32948,1559,55266
ZCTA5 32949,954,110833
ZCTA5 32950,1788,90039
ZCTA5 32951,5928,107389
ZCTA5 32952,8273,110519
ZCTA5 32953,9507,88555
ZCTA5 32955,15284,89241
ZCTA5 32958,12414,69796
ZCTA5 32960,9148,67742
ZCTA5 32962,8723,67777
ZCTA5 32963,7574,214993
ZCTA5 32966,8559,71516
ZCTA5 32967,8009,78169
ZCTA5 32968,4904,91296
ZCTA5 32970,69,23003
ZCTA5 32976,5165,54948
ZCTA5 33001,167,45903
ZCTA5 33004,6716,75961
ZCTA5 33009,18988,61009
ZCTA5 33010,15885,45727
ZCTA5 33012,25596,49101
ZCTA5 33013,9293,55108
ZCTA5 33014,14076,67610
ZCTA5 33015,22066,69838
ZCTA5 33016,15816,73735
ZCTA5 33018,15539,82315
ZCTA5 33019,6444,121607
ZCTA5 33020,18655,60748
ZCTA5 33021,18677,84948
ZCTA5 33023,20634,68306
ZCTA5 33024,23519,83002
ZCTA5 33025,26049,67871
ZCTA5 33026,11956,94799
ZCTA5 33027,24319,81685
ZCTA5 33028,8407,118987
ZCTA5 33029,12870,135728
ZCTA5 33030,9091,53980
ZCTA5 33031,2490,137469
ZCTA5 33032,14559,67469
ZCTA5 33033,15906,66126
ZCTA5 33034,5056,47845
ZCTA5 33035,4533,76059
ZCTA5 33036,1592,118508
ZCTA5 33037,4758,111594
ZCTA5 33039,138,60724
ZCTA5 33040,14487,103409
ZCTA5 33042,2971,128755
ZCTA5 33043,2063,88409
ZCTA5 33050,4183,91631
ZCTA5 33051,321,142599
ZCTA5 33054,9518,43967
ZCTA5 33055,10985,57578
ZCTA5 33056,10161,61239
ZCTA5 33060,13531,64751
ZCTA5 33062,12839,100429
ZCTA5 33063,24451,64083
ZCTA5 33064,21303,77145
ZCTA5 33065,18697,77036
ZCTA5 33066,8697,113653
ZCTA5 33067,8269,148001
ZCTA5 33068,17013,61153
ZCTA5 33069,10500,65582
ZCTA5 33070,2238,108019
ZCTA5 33071,12985,111238
ZCTA5 33073,11776,92690
ZCTA5 33076,12372,173046
ZCTA5 33101,0,-
ZCTA5 33109,213,329835
ZCTA5 33122,166,90031
ZCTA5 33125,21716,53094
ZCTA5 33126,18035,52737
ZCTA5 33127,9800,43245
ZCTA5 33128,3461,34231
ZCTA5 33129,6680,117739
ZCTA5 33130,15856,71092
ZCTA5 33131,11265,157682
ZCTA5 33132,7631,114636
ZCTA5 33133,14081,146442
ZCTA5 33134,16297,110623
ZCTA5 33135,14278,45784
ZCTA5 33136,6497,40983
ZCTA5 33137,9900,92759
ZCTA5 33138,12053,87966
ZCTA5 33139,20559,108377
ZCTA5 33140,9002,165133
ZCTA5 33141,17387,83384
ZCTA5 33142,20142,39422
ZCTA5 33143,12855,131894
ZCTA5 33144,9720,67733
ZCTA5 33145,11710,77589
ZCTA5 33146,4841,194454
ZCTA5 33147,13966,53490
ZCTA5 33149,4079,242022
ZCTA5 33150,10221,46731
ZCTA5 33154,5800,131299
ZCTA5 33155,14375,95716
ZCTA5 33156,11004,221675
ZCTA5 33157,19184,98313
ZCTA5 33158,1983,225581
ZCTA5 33160,19405,92945
ZCTA5 33161,16822,57394
ZCTA5 33162,13541,64985
ZCTA5 33165,16649,84439
ZCTA5 33166,8592,80784
ZCTA5 33167,6140,58389
ZCTA5 33168,6353,61254
ZCTA5 33169,11984,59366
ZCTA5 33170,3680,67320
ZCTA5 33172,13754,62986
ZCTA5 33173,11056,98009
ZCTA5 33174,10902,65234
ZCTA5 33175,16670,81014
ZCTA5 33176,18160,108922
ZCTA5 33177,15423,75938
ZCTA5 33178,15834,94374
ZCTA5 33179,16919,67383
ZCTA5 33180,14121,122742
ZCTA5 33181,7768,77054
ZCTA5 33182,3985,103895
ZCTA5 33183,12243,77447
ZCTA5 33184,6126,72334
ZCTA5 33185,8627,102148
ZCTA5 33186,21711,85188
ZCTA5 33187,5224,99537
ZCTA5 33189,7813,72759
ZCTA5 33190,5053,75885
ZCTA5 33193,15108,76770
ZCTA5 33194,1712,120107
ZCTA5 33196,15370,94590
ZCTA5 33301,8380,158132
ZCTA5 33304,8980,99896
ZCTA5 33305,6815,115160
ZCTA5 33306,1729,159083
ZCTA5 33308,14957,122494
ZCTA5 33309,13517,71576
ZCTA5 33311,24216,49086
ZCTA5 33312,18201,82923
ZCTA5 33313,20084,54298
ZCTA5 33314,9195,69290
ZCTA5 33315,5778,91591
ZCTA5 33316,5042,162905
ZCTA5 33317,12453,89513
ZCTA5 33319,19166,65618
ZCTA5 33321,19943,65577
ZCTA5 33322,17901,72128
ZCTA5 33323,7576,115781
ZCTA5 33324,19331,93934
ZCTA5 33325,9933,107055
ZCTA5 33326,10632,118441
ZCTA5 33327,6681,174748
ZCTA5 33328,10179,125048
ZCTA5 33330,4569,168627
ZCTA5 33331,7357,170376
ZCTA5 33332,3395,200477
ZCTA5 33334,12353,82266
ZCTA5 33351,11911,73152
ZCTA5 33401,12537,81291
ZCTA5 33403,4345,65080
ZCTA5 33404,10437,72943
ZCTA5 33405,7645,81497
ZCTA5 33406,8173,85487
ZCTA5 33407,11084,61541
ZCTA5 33408,9380,126529
ZCTA5 33409,10781,68312
ZCTA5 33410,14701,133970
ZCTA5 33411,25446,92738
ZCTA5 33412,5227,130833
ZCTA5 33413,4993,89298
ZCTA5 33414,19720,114660
ZCTA5 33415,17195,58761
ZCTA5 33417,15284,54533
ZCTA5 33418,17185,155660
ZCTA5 33426,9760,71335
ZCTA5 33428,15030,101949
ZCTA5 33430,7219,45043
ZCTA5 33431,8253,125578
ZCTA5 33432,10751,153895
ZCTA5 33433,18917,91213
ZCTA5 33434,10008,105512
ZCTA5 33435,13961,80093
ZCTA5 33436,18492,88716
ZCTA5 33437,18026,85153
ZCTA5 33438,87,85405
ZCTA5 33440,6967,57834
ZCTA5 33441,11166,66178
ZCTA5 33442,13835,63327
ZCTA5 33444,8807,84192
ZCTA5 33445,13922,85544
ZCTA5 33446,13280,121649
ZCTA5 33449,3765,157394
ZCTA5 33455,9574,113292
ZCTA5 33458,21850,132592
ZCTA5 33460,10887,62458
ZCTA5 33461,14629,62597
ZCTA5 33462,12838,83061
ZCTA5 33463,18935,86866
ZCTA5 33467,20539,96935
ZCTA5 33469,6689,122776
ZCTA5 33470,8669,112126
ZCTA5 33471,2428,46097
ZCTA5 33472,7908,110623
ZCTA5 33473,4249,136418
ZCTA5 33476,2366,39372
ZCTA5 33477,7188,148509
ZCTA5 33478,4888,142657
ZCTA5 33480,6065,300960
ZCTA5 33483,6476,187841
ZCTA5 33484,14456,71170
ZCTA5 33486,9253,114972
ZCTA5 33487,9538,127426
ZCTA5 33493,795,63331
ZCTA5 33496,9994,172691
ZCTA5 33498,5555,141666
ZCTA5 33503,58,82016
ZCTA5 33510,10857,77011
ZCTA5 33511,22334,79120
ZCTA5 33513,4094,67145
ZCTA5 33514,808,54163
ZCTA5 33521,240,44897
ZCTA5 33523,6460,70787
ZCTA5 33525,6875,73003
ZCTA5 33527,5037,80356
ZCTA5 33534,5058,68926
ZCTA5 33538,2203,60524
ZCTA5 33540,4175,51013
ZCTA5 33541,9813,55619
ZCTA5 33542,10301,45479
ZCTA5 33543,9822,99790
ZCTA5 33544,9689,109557
ZCTA5 33545,6634,100791
ZCTA5 33547,7704,135075
ZCTA5 33548,2718,140668
ZCTA5 33549,6883,93450
ZCTA5 33556,8310,158971
ZCTA5 33558,9168,121853
ZCTA5 33559,6871,83335
ZCTA5 33563,9967,56756
ZCTA5 33565,6187,73656
ZCTA5 33566,7342,86264
ZCTA5 33567,3868,83147
ZCTA5 33569,10181,88644
ZCTA5 33570,9788,71811
ZCTA5 33572,8239,127039
ZCTA5 33573,13440,65136
ZCTA5 33576,2212,83067
ZCTA5 33578,20742,77903
ZCTA5 33579,12030,98559
ZCTA5 33584,9440,74278
ZCTA5 33585,411,70374
ZCTA5 33592,3963,74191
ZCTA5 33594,13214,88471
ZCTA5 33596,10047,118010
ZCTA5 33597,2987,66135
ZCTA5 33598,6726,82324
ZCTA5 33602,8599,109306
ZCTA5 33603,8753,71405
ZCTA5 33604,15811,58912
ZCTA5 33605,7585,39770
ZCTA5 33606,8894,154284
ZCTA5 33607,10932,63433
ZCTA5 33609,8497,140410
ZCTA5 33610,16771,49101
ZCTA5 33611,16269,103942
ZCTA5 33612,19021,47836
ZCTA5 33613,14911,55435
ZCTA5 33614,18229,55010
ZCTA5 33615,18028,73973
ZCTA5 33616,6265,91402
ZCTA5 33617,19281,59581
ZCTA5 33618,12100,106081
ZCTA5 33619,13347,59233
ZCTA5 33620,11,N
ZCTA5 33621,538,102195
ZCTA5 33624,15043,89008
ZCTA5 33625,11232,81007
ZCTA5 33626,11059,139754
ZCTA5 33629,10441,178207
ZCTA5 33634,7544,83180
ZCTA5 33635,7240,90470
ZCTA5 33637,7071,59256
ZCTA5 33647,25565,120593
ZCTA5 33701,9120,87867
ZCTA5 33702,14139,76814
ZCTA5 33703,11120,119558
ZCTA5 33704,8038,145715
ZCTA5 33705,11210,73087
ZCTA5 33706,8805,114601
ZCTA5 33707,12512,74263
ZCTA5 33708,7929,92298
ZCTA5 33709,10305,56349
ZCTA5 33710,14369,83121
ZCTA5 33711,6410,70047
ZCTA5 33712,9178,66046
ZCTA5 33713,13782,73735
ZCTA5 33714,7926,46402
ZCTA5 33715,3794,134028
ZCTA5 33716,9360,68947
ZCTA5 33744,0,-
ZCTA5 33755,9977,63559
